Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%,DayHigh,DayLow,Open,High,Low,Close
2015-04-29,BULL,OOH,BEAR,NORMAL,SWR,TR,-0.037,,,272.0,273.4,269.55,271.95
2015-04-30,TR,OOL,BULL,NORMAL,SWR,BEAR,-1.047,,,270.2,273.45,266.75,269.4
2015-05-04,TR,OOH,TR,NORMAL,SWR,BULL,1.466,,,273.35,278.0,271.7,277.2
2015-05-05,BULL,OOH,TR,NORMAL,SWR,BEAR,-1.361,,,277.0,277.0,271.4,272.5
2015-05-06,BEAR,OBR,BEAR,NORMAL,SWR,BEAR,-2.626,,,271.0,273.6,263.3,265.75
2015-05-07,BEAR,OOL,BULL,NORMAL,WBR,BEAR,-1.342,,,263.75,267.25,259.65,261.0
2015-05-08,TR,OIM,BULL,NORMAL,SWR,BEAR,-1.226,,,264.85,268.0,260.5,262.5
2015-05-11,TR,OIM,TR,NORMAL,SWR,BULL,4.15,,,263.7,277.15,262.6,275.5
2015-05-12,BULL,OOH,BEAR,NORMAL,SWR,BEAR,-1.366,,,275.3,275.4,266.35,267.55
2015-05-13,BEAR,OIM,BULL,NORMAL,SWR,BULL,1.218,,,269.6,275.0,268.05,274.4
2015-05-14,BULL,OOH,BULL,NORMAL,WAR,BULL,1.19,,,273.5,281.9,272.95,281.2
2015-05-15,BULL,OAR,BULL,NORMAL,SAR,BULL,0.911,,,282.1,288.3,282.1,287.0
2015-05-18,BULL,OAR,TR,NORMAL,SWR,TR,0.312,,,289.05,290.0,285.6,289.7
2015-05-19,TR,OOH,TR,NORMAL,SWR,TR,-0.26,,,289.5,291.25,286.2,288.0
2015-05-20,TR,OIM,BULL,NORMAL,WAR,TR,0.326,,,289.7,294.8,289.4,292.5
2015-05-21,TR,OOH,BEAR,NORMAL,SWR,TR,-0.6,,,294.0,294.7,288.5,291.5
2015-05-22,TR,OOH,BULL,NORMAL,WAR,BEAR,-4.232,,,293.4,305.0,280.9,281.85
2015-05-25,BEAR,OBR,BULL,NORMAL,SWR,BEAR,-1.943,,,280.2,284.3,276.25,277.2
2015-05-26,TR,OIM,TR,NORMAL,SWR,BEAR,-0.877,,,278.9,280.8,276.0,277.55
2015-05-27,TR,OBR,BULL,DOJI,SWR,BULL,0.827,,,275.5,281.55,274.2,281.2
2015-05-28,BULL,OIM,BEAR,NORMAL,SWR,TR,0.018,,,279.05,279.7,276.2,278.3
2015-05-29,TR,OIM,BULL,DOJI,WAR,BEAR,-0.874,,,278.6,281.5,277.1,278.85
2015-06-01,TR,OIM,TR,HUGE OPEN,WAR,BEAR,-1.032,,,278.7,282.0,277.55,278.2
2015-06-02,TR,OOL,TR,DOJI,WBR,BEAR,-4.226,,,278.6,279.4,265.4,266.3
2015-06-03,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-2.65,,,266.25,266.25,255.1,258.25
2015-06-04,BEAR,OIM,BEAR,NORMAL,SWR,TR,0.175,,,260.0,261.4,253.8,257.5
2015-06-05,TR,OIM,TR,DOJI,SWR,TR,0.409,,,256.75,262.0,255.7,257.3
