Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2023-04-05,BULL,OAR,BULL,NORMAL,SWR,TR,-0.353
2023-04-06,BULL,OIM,TR,DOJI,SWR,TR,-0.569
2023-04-10,BEAR,OOH,TR,DOJI,SWR,TR,-0.444
2023-04-11,BULL,OOL,BEAR,NORMAL,SWR,TR,-0.38
2023-04-12,BEAR,OIM,TR,NORMAL,SWR,TR,-0.272
2023-04-13,TR,OOL,TR,NORMAL,SWR,TR,-0.199
2023-04-17,BEAR,OIM,TR,NORMAL,WBR,BEAR,-0.638
2023-04-18,BULL,OOL,BEAR,NORMAL,SWR,TR,-0.118
2023-04-19,TR,OIM,TR,DOJI,SWR,TR,-0.319
2023-04-20,TR,OIM,TR,NORMAL,SWR,BULL,0.903
2023-04-21,BEAR,OIM,TR,NORMAL,SWR,TR,0.228
2023-04-24,TR,OIM,TR,DOJI,SWR,TR,0.438
2023-04-25,BULL,OIM,TR,NORMAL,WAR,BEAR,-0.93
2023-04-26,BULL,OOL,TR,NORMAL,SWR,TR,-0.337
2023-04-27,TR,OOL,TR,DOJI,WAR,BEAR,-0.69
2023-04-28,TR,OIM,TR,NORMAL,SWR,TR,0.255
2023-05-02,TR,OOH,TR,DOJI,WAR,TR,-0.57
2023-05-03,TR,OIM,TR,NORMAL,SWR,TR,-0.063
2023-05-04,BULL,OIM,TR,HUGE OPEN,WAR,BEAR,-1.716
2023-05-05,BULL,OOL,TR,NORMAL,SWR,TR,0.278
2023-05-08,TR,OOH,BULL,DOJI,SWR,TR,-0.301
2023-05-09,TR,OIM,TR,DOJI,SWR,BEAR,-1.073
2023-05-10,TR,OOL,BEAR,DOJI,SWR,TR,-0.027
2023-05-11,TR,OOH,TR,HUGE OPEN,WAR,TR,0.018
2023-05-12,BEAR,OIM,TR,HUGE OPEN,WBR,BULL,0.672
2023-05-15,BULL,OOH,TR,NORMAL,WAR,TR,-0.351
2023-05-16,BULL,OIM,TR,NORMAL,SWR,TR,-0.516
2023-05-17,TR,OOL,TR,NORMAL,SWR,TR,0.123
2023-05-18,TR,OAR,TR,HUGE OPEN,SAR,TR,-0.48
2023-05-19,BEAR,OIM,TR,NORMAL,WBR,TR,0.124
2023-05-22,BULL,OOH,TR,NORMAL,WAR,BULL,0.752
2023-05-23,BULL,OAR,BULL,NORMAL,SAR,BULL,0.743
2023-05-24,TR,OOH,BULL,NORMAL,WAR,TR,0.194
2023-05-25,BEAR,OAR,TR,HUGE OPEN,SAR,TR,-0.322
2023-05-26,TR,OIM,TR,DOJI,SWR,TR,-0.396
