Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow,Open,High,Low,Close
2015-07-15,BULL,Bull Leg,OOL,NORMAL,SWR,BEAR,,,387.0,395.0,382.6,394.05
2015-07-16,TR,TR,OOH,NORMAL,WAR,BULL,,,394.7,398.6,392.5,394.5
2015-07-17,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,395.85,403.25,390.4,397.2
2015-07-20,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,,398.9,401.7,389.5,390.45
2015-07-21,BEAR,TR,OOL,NORMAL,WBR,BEAR,,,391.8,393.3,386.15,389.1
2015-07-22,TR,TR,OOL,NORMAL,SWR,TR,,,388.0,392.65,385.95,388.8
2015-07-23,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,388.8,403.4,385.0,402.5
2015-07-24,BULL,Bear Leg,OIM,NORMAL,SWR,BULL,,,397.45,399.25,389.15,389.65
2015-07-27,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,,384.25,385.25,373.0,377.25
2015-07-28,BEAR,TR,OOL,DOJI,WBR,BEAR,,,373.8,374.85,366.1,370.0
2015-07-29,BULL,TR,OOH,DOJI,SWR,TR,,,373.0,379.2,372.7,379.15
2015-07-30,TR,Bear Leg,OAR,NORMAL,SAR,BULL,,,381.9,382.4,376.4,379.0
2015-07-31,BULL,TR,OIM,NORMAL,WAR,TR,,,380.05,390.5,380.05,384.0
2015-08-03,TR,TR,OIM,NORMAL,SWR,TR,,,386.25,394.4,382.25,387.55
2015-08-04,BEAR,TR,OOL,NORMAL,SWR,TR,,,385.55,386.85,378.0,381.15
2015-08-05,BEAR,TR,OOL,NORMAL,SWR,TR,,,378.8,388.45,375.1,376.1
2015-08-06,BEAR,Bull Leg,OOL,NORMAL,SWR,TR,,,377.95,384.7,373.35,382.55
2015-08-07,TR,Bull Leg,OOH,NORMAL,WAR,TR,,,382.4,395.8,382.4,392.55
2015-08-10,BULL,Bear Leg,OOL,NORMAL,SWR,BULL,,,384.0,395.25,382.25,383.2
2015-08-11,BEAR,Bear Leg,OIM,DOJI,WBR,TR,,,386.4,387.15,367.6,368.5
2015-08-12,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,,365.15,365.4,353.55,356.4
2015-08-13,BEAR,Bear Leg,OOL,NORMAL,SWR,BEAR,,,356.9,360.95,348.1,350.6
2015-08-14,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,,353.45,359.6,345.1,355.05
2015-08-17,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,,354.7,362.3,345.25,356.0
2015-08-18,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,,355.7,358.25,347.7,348.35
2015-08-19,TR,Bull Leg,OOL,NORMAL,WBR,BEAR,,,348.7,354.9,344.0,351.3
2015-08-20,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,,348.0,349.45,341.0,343.5
2015-08-21,BEAR,Bull Leg,OBR,HUGE OPEN,SBR,BEAR,,,339.0,339.0,328.0,332.5
2015-08-24,TR,TR,OBR,DOJI,SBR,TR,,,312.2,315.8,302.0,303.1
2015-08-25,TR,Bull Leg,OIM,NORMAL,WAR,BEAR,,,308.25,331.25,305.85,330.0
2015-08-26,BULL,Bull Leg,OIM,NORMAL,SWR,BULL,,,321.9,341.4,318.4,331.4
2015-08-27,BEAR,TR,OOH,DOJI,SWR,TR,,,339.0,342.45,327.45,338.3
2015-08-28,BEAR,Bull Leg,OOH,DOJI,SWR,TR,,,340.25,341.6,335.3,340.95
