Date,PrevDayContext,OpenLocation,OpeningTrend,FirstCandleType,RangeStatus,Result,ResultRet%
2015-08-17,TR,WithinPrevRange,BEAR,Doji,WideRange,BULL,0.792
2015-08-18,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-3.793
2015-08-19,BEAR,WithinPrevRange,BULL,Bear,WideRange,BEAR,-1.604
2015-08-20,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-6.169
2015-08-21,TR,GapDown<PrevLow,TR,Bear,WideRange,BULL,0.613
2015-08-24,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BEAR,-6.209
2015-08-25,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BULL,5.156
2015-08-26,TR,WithinPrevRange,TR,Bear,WideRange,TR,-0.552
2015-08-27,TR,WithinPrevRange,TR,Bear,WideRange,BULL,8.805
2015-08-28,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-6.051
2015-08-31,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-0.988
2015-09-01,BEAR,GapDown<PrevLow,BULL,Bear,WideRange,BEAR,-3.574
2015-09-02,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.396
2015-09-03,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-0.884
2015-09-04,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.353
2015-09-07,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-3.94
2015-09-08,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,1.261
2015-09-09,TR,GapUp>PrevHigh,BULL,Bull,WideRange,BULL,0.999
2015-09-10,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,2.362
2015-09-11,TR,GapUp>PrevHigh,TR,Bull,WideRange,BEAR,-2.391
2015-09-14,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,10.328
2015-09-15,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-4.183
2015-09-16,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.875
2015-09-18,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,1.697
2015-09-21,TR,WithinPrevRange,BULL,Bear,WideRange,BULL,6.209
2015-09-22,BULL,WithinPrevRange,TR,Bull,WideRange,BEAR,-2.403
2015-09-23,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,2.502
2015-09-24,BULL,WithinPrevRange,TR,Bull,WideRange,TR,0.437
2015-09-28,TR,WithinPrevRange,TR,Bull,WideRange,BEAR,-1.779
2015-09-29,TR,GapDown<PrevLow,BEAR,Bear,WideRange,BULL,0.83
2015-09-30,TR,WithinPrevRange,TR,Bull,WideRange,TR,-0.372
2015-10-01,TR,GapUp>PrevHigh,TR,Bear,WideRange,BEAR,-1.657
2015-10-05,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.425
2015-10-06,BULL,WithinPrevRange,BULL,Doji,WideRange,TR,-0.413
2015-10-07,TR,WithinPrevRange,BULL,Bull,WideRange,TR,-0.235
2015-10-08,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.415
2015-10-09,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.446
2015-10-12,TR,WithinPrevRange,TR,Bear,WideRange,BULL,1.835
2015-10-13,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.469
2015-10-14,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,TR,-0.527
2015-10-15,TR,WithinPrevRange,BULL,Bull,WideRange,BULL,2.274
2015-10-16,BULL,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-2.888
2015-10-19,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,-0.266
2015-10-20,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,2.072
2015-10-21,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-1.837
2015-10-23,TR,WithinPrevRange,BEAR,Bear,WideRange,TR,0.159
2015-10-26,TR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-3.08
2015-10-27,BEAR,WithinPrevRange,TR,Bull,Normal,TR,-0.054
2015-10-28,TR,WithinPrevRange,BEAR,Bear,WideRange,BULL,0.999
2015-10-29,TR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.031
2015-10-30,TR,WithinPrevRange,TR,Bull,WideRange,BULL,0.984
2015-11-02,TR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.661
2015-11-03,BEAR,WithinPrevRange,BULL,Bull,WideRange,BEAR,-1.453
2015-11-04,TR,WithinPrevRange,BEAR,Doji,WideRange,BEAR,-4.059
2015-11-05,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-2.927
2015-11-06,BEAR,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-1.25
2015-11-09,BEAR,GapDown<PrevLow,BULL,Bull,WideRange,BULL,2.584
2015-11-10,BULL,WithinPrevRange,BEAR,Bear,WideRange,BEAR,-3.788
2015-11-13,BEAR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.15
2015-11-16,BEAR,WithinPrevRange,TR,Bull,WideRange,BULL,1.316
2015-11-17,BULL,WithinPrevRange,BULL,Bull,WideRange,BULL,1.199
2015-11-18,TR,WithinPrevRange,TR,Bear,WideRange,BEAR,-2.26
2015-11-19,BEAR,WithinPrevRange,BEAR,Bull,WideRange,BEAR,-0.894
