Date,OpeningTrend,OpenLocation,PrevDayContext,FirstCandleType,RangeStatus,Result,ResultRet%
2015-08-20,BEAR,OIM,TR,DOJI,SWR,BEAR,-1.269
2015-08-21,BEAR,OBR,BEAR,HUGE OPEN,SBR,BULL,0.651
2015-08-24,TR,OBR,TR,DOJI,SBR,TR,-0.336
2015-08-25,TR,OIM,BEAR,NORMAL,WAR,BULL,4.876
2015-08-26,BULL,OIM,BULL,NORMAL,SWR,BULL,3.238
2015-08-27,BEAR,OOH,TR,DOJI,SWR,TR,-0.403
2015-08-28,BEAR,OOH,TR,DOJI,SWR,BULL,0.758
2015-08-31,BEAR,OIM,TR,HUGE OPEN,WBR,BULL,1.707
2015-09-01,BULL,OOL,TR,NORMAL,SWR,BEAR,-2.282
2015-09-02,BEAR,OOL,TR,DOJI,SWR,BEAR,-1.25
2015-09-03,BULL,OIM,TR,NORMAL,SWR,BULL,1.261
2015-09-04,BEAR,OOL,TR,NORMAL,WBR,TR,-0.031
2015-09-07,BEAR,OOH,TR,NORMAL,WAR,BEAR,-2.212
2015-09-08,BEAR,OIM,TR,NORMAL,SWR,BULL,1.969
2015-09-09,TR,OAR,TR,DOJI,SAR,BULL,2.406
2015-09-10,TR,OOL,BULL,DOJI,SWR,BULL,5.196
2015-09-11,BEAR,OOH,BULL,NORMAL,WAR,BEAR,-2.617
2015-09-14,BEAR,OIM,BEAR,NORMAL,SWR,BULL,1.033
2015-09-15,BEAR,OIM,TR,NORMAL,SWR,BEAR,-2.632
2015-09-16,BEAR,OIM,BEAR,DOJI,SWR,TR,0.49
2015-09-18,TR,OBR,TR,DOJI,SBR,TR,-0.392
2015-09-21,BULL,OOL,TR,DOJI,SWR,TR,-0.03
2015-09-22,BEAR,OIM,TR,NORMAL,SWR,BEAR,-4.101
2015-09-23,TR,OBR,BEAR,NORMAL,SBR,TR,0.193
2015-09-24,TR,OIM,TR,NORMAL,SWR,BEAR,-1.731
2015-09-28,BEAR,OOL,BEAR,NORMAL,WBR,BEAR,-3.852
2015-09-29,BULL,OBR,BEAR,DOJI,SWR,BULL,1.763
2015-09-30,BULL,OIM,TR,NORMAL,SWR,BULL,2.376
2015-10-01,BEAR,OAR,BULL,NORMAL,SWR,BULL,0.914
2015-10-05,BULL,OAR,TR,HUGE OPEN,SAR,TR,-0.522
2015-10-06,BULL,OOH,BULL,NORMAL,WAR,BULL,3.235
2015-10-07,BULL,OOH,BULL,NORMAL,WAR,BULL,1.46
2015-10-08,BULL,OOH,BULL,NORMAL,WAR,BEAR,-0.881
2015-10-09,BEAR,OOH,TR,HUGE OPEN,WBR,BULL,3.428
2015-10-12,BULL,OOH,BULL,NORMAL,WAR,TR,0.319
2015-10-13,BEAR,OOL,BULL,NORMAL,WBR,BULL,1.515
2015-10-14,BEAR,OIM,TR,DOJI,SWR,BEAR,-1.442
2015-10-15,BULL,OIM,BEAR,HUGE OPEN,WAR,BULL,4.437
2015-10-16,BEAR,OAR,BULL,NORMAL,SAR,TR,0.376
2015-10-19,TR,OOL,TR,NORMAL,WBR,TR,0.371
2015-10-20,BULL,OIM,BEAR,DOJI,WAR,TR,-0.558
2015-10-21,TR,OOL,TR,DOJI,SWR,TR,-0.392
2015-10-23,TR,OIM,TR,NORMAL,WAR,BEAR,-1.008
2015-10-26,TR,OIM,TR,NORMAL,SWR,BEAR,-0.607
2015-10-27,TR,OBR,TR,NORMAL,SWR,TR,-0.234
2015-10-28,BULL,OOL,TR,NORMAL,SWR,TR,0.377
2015-10-29,TR,OOH,TR,NORMAL,SWR,BULL,1.073
2015-10-30,BEAR,OIM,TR,NORMAL,SWR,BEAR,-0.76
2015-11-02,BULL,OIM,BEAR,HUGE OPEN,SWR,TR,-0.577
2015-11-03,BEAR,OOH,TR,NORMAL,SWR,BEAR,-0.907
2015-11-04,BULL,OOH,BEAR,HUGE OPEN,WAR,TR,0.149
2015-11-05,BULL,OOH,BULL,NORMAL,WAR,BEAR,-2.318
2015-11-06,BEAR,OBR,TR,NORMAL,SBR,TR,-0.164
2015-11-09,BULL,OBR,TR,HUGE OPEN,SWR,BULL,4.639
2015-11-10,BULL,OOH,BULL,NORMAL,WAR,BEAR,-1.779
2015-11-11,TR,OIM,TR,,SWR,TR,0.0
2015-11-13,BEAR,OOL,TR,DOJI,WAR,BEAR,-1.559
2015-11-16,BEAR,OBR,TR,DOJI,SWR,TR,0.213
2015-11-17,TR,OOH,TR,NORMAL,SWR,BULL,1.496
2015-11-18,TR,OOH,TR,NORMAL,WAR,BEAR,-1.096
2015-11-19,BEAR,OIM,TR,DOJI,SWR,TR,0.049
2015-11-20,TR,OOH,TR,NORMAL,SWR,BEAR,-1.056
2015-11-23,BULL,OBR,TR,NORMAL,SBR,TR,0.175
2015-11-24,TR,OIM,TR,NORMAL,SWR,TR,0.25
2015-11-26,BULL,OOH,TR,NORMAL,WAR,BULL,4.082
