Date,OpeningTrend,OpenLocation,PrevDayContext,Result,ResultRet%
2022-11-30 00:00:00+05:30,BULL,OIM,TR,TR,-0.368
2022-12-01 00:00:00+05:30,BULL,OOH,TR,BULL,1.678
2022-12-02 00:00:00+05:30,BULL,OIM,TR,TR,-0.031
2022-12-05 00:00:00+05:30,TR,OIM,TR,TR,-0.054
2022-12-06 00:00:00+05:30,TR,OIM,TR,TR,0.046
2022-12-07 00:00:00+05:30,TR,OOL,TR,TR,0.0
2022-12-08 00:00:00+05:30,TR,OIM,TR,BULL,1.477
2022-12-09 00:00:00+05:30,TR,OIM,TR,BULL,1.008
2022-12-12 00:00:00+05:30,TR,OIM,BULL,BULL,2.577
2022-12-13 00:00:00+05:30,BULL,OOH,BULL,TR,0.28
2022-12-14 00:00:00+05:30,BULL,OOH,BULL,BEAR,-0.695
2022-12-15 00:00:00+05:30,BEAR,OOH,TR,BEAR,-1.434
2022-12-16 00:00:00+05:30,TR,OBR,BEAR,BEAR,-2.596
2022-12-19 00:00:00+05:30,TR,OOL,BEAR,BULL,5.955
2022-12-20 00:00:00+05:30,BULL,OOH,BULL,BEAR,-1.035
2022-12-21 00:00:00+05:30,TR,OIM,TR,BEAR,-5.507
2022-12-22 00:00:00+05:30,BEAR,OOL,BEAR,BEAR,-2.083
2022-12-23 00:00:00+05:30,BULL,OBR,BEAR,BEAR,-3.794
2022-12-26 00:00:00+05:30,BULL,OOL,BEAR,BULL,2.129
2022-12-27 00:00:00+05:30,BEAR,OAR,BULL,TR,0.145
2022-12-28 00:00:00+05:30,TR,OIM,TR,TR,-0.218
2022-12-29 00:00:00+05:30,BEAR,OOL,TR,TR,-0.088
2022-12-30 00:00:00+05:30,TR,OOH,TR,BEAR,-0.775
2023-01-02 00:00:00+05:30,BULL,OOL,TR,BULL,2.181
2023-01-03 00:00:00+05:30,BULL,OAR,BULL,BULL,1.241
2023-01-04 00:00:00+05:30,BULL,OOH,BULL,BEAR,-1.034
2023-01-05 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.628
2023-01-06 00:00:00+05:30,BEAR,OIM,TR,BEAR,-1.983
2023-01-09 00:00:00+05:30,TR,OIM,BEAR,TR,-0.524
2023-01-10 00:00:00+05:30,TR,OIM,BEAR,TR,0.576
2023-01-11 00:00:00+05:30,BULL,OIM,TR,BEAR,-1.066
2023-01-12 00:00:00+05:30,BEAR,OIM,TR,BEAR,-0.849
2023-01-13 00:00:00+05:30,TR,OOL,BEAR,TR,0.564
