Date,OpeningTrend,Result,OpenLocation,FirstCandleType,RangeStatus,PrevDayContext,DayHigh,DayLow
2015-07-31,BULL,TR,OIM,NORMAL,WAR,TR,,
2015-08-03,TR,TR,OIM,NORMAL,SWR,TR,,
2015-08-04,BEAR,TR,OOL,NORMAL,SWR,TR,,
2015-08-05,BEAR,TR,OOL,NORMAL,SWR,TR,,
2015-08-06,BEAR,Bull Leg,OOL,NORMAL,SWR,TR,,
2015-08-07,TR,Bull Leg,OOH,NORMAL,WAR,TR,,
2015-08-10,BULL,Bear Leg,OOL,NORMAL,SWR,BULL,,
2015-08-11,BEAR,Bear Leg,OIM,DOJI,WBR,TR,,
2015-08-12,BEAR,Bear Leg,OBR,NORMAL,SBR,BEAR,,
2015-08-13,BEAR,Bear Leg,OOL,NORMAL,SWR,BEAR,,
2015-08-14,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2015-08-17,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-08-18,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,
2015-08-19,TR,Bull Leg,OOL,NORMAL,WBR,BEAR,,
2015-08-20,BEAR,Bear Leg,OIM,DOJI,SWR,TR,,
2015-08-21,BEAR,Bull Leg,OBR,HUGE OPEN,SBR,BEAR,,
2015-08-24,TR,TR,OBR,DOJI,SBR,TR,,
2015-08-25,TR,Bull Leg,OIM,NORMAL,WAR,BEAR,,
2015-08-26,BULL,Bull Leg,OIM,NORMAL,SWR,BULL,,
2015-08-27,BEAR,TR,OOH,DOJI,SWR,TR,,
2015-08-28,BEAR,Bull Leg,OOH,DOJI,SWR,TR,,
2015-08-31,BEAR,Bull Leg,OIM,HUGE OPEN,WBR,TR,,
2015-09-01,BULL,Bear Leg,OOL,NORMAL,SWR,TR,,
2015-09-02,BEAR,Bear Leg,OOL,DOJI,SWR,TR,,
2015-09-03,BULL,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-09-04,BEAR,TR,OOL,NORMAL,WBR,TR,,
2015-09-07,BEAR,Bear Leg,OOH,NORMAL,WAR,TR,,
2015-09-08,BEAR,Bull Leg,OIM,NORMAL,SWR,TR,,
2015-09-09,TR,Bull Leg,OAR,DOJI,SAR,TR,,
2015-09-10,TR,Bull Leg,OOL,DOJI,SWR,BULL,,
2015-09-11,BEAR,Bear Leg,OOH,NORMAL,WAR,BULL,,
2015-09-14,BEAR,Bull Leg,OIM,NORMAL,SWR,BEAR,,
2015-09-15,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
2015-09-16,BEAR,TR,OIM,DOJI,SWR,BEAR,,
2015-09-18,TR,TR,OBR,DOJI,SBR,TR,,
2015-09-21,BULL,TR,OOL,DOJI,SWR,TR,,
2015-09-22,BEAR,Bear Leg,OIM,NORMAL,SWR,TR,,
